2021-11-26T21:15:28.760Z [AUDIT] Token created by 'anonymous': tokenId='5bf44071-9b87-43bc-826c-637fda302932', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-26T21:15:31.298Z [AUDIT] Token created by 'anonymous': tokenId='22096d36-9edf-48c7-99ab-8e482d3650e2', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637961451294, refreshable=false
2021-11-26T21:15:31.437Z [AUDIT] Token created by 'anonymous': tokenId='d58ab4f0-a1e1-4ef1-9e58-a9a8003f7137', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637961451430, refreshable=false
2021-11-26T21:15:31.645Z [AUDIT] Token created by 'anonymous': tokenId='967789b8-f8a7-40e3-a110-af76ec195b2b', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637961451644, refreshable=false
2021-11-26T21:15:32.078Z [AUDIT] Token created by 'anonymous': tokenId='8e30db27-4ae7-453c-a3d4-b4716da6226d', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637961452051, refreshable=false
2021-11-26T21:15:32.885Z [AUDIT] Token created by 'anonymous': tokenId='7e7347bf-9ba2-400d-b290-d831b9464ea8', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637961452884, refreshable=false
2021-11-26T21:15:33.227Z [AUDIT] Token created by 'anonymous': tokenId='2f220fd3-1062-4d75-8b8b-8e216ae2e9f4', issuer='jfob@01fnf1mjebk08f123fqpr71am0', subject='jfob@01fnf1mjebk08f123fqpr71am0', expiry=none, refreshable=false
2021-11-26T21:15:33.470Z [AUDIT] Token created by 'anonymous': tokenId='94e63c87-a117-42ac-8d12-e184c1e670ab', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=none, refreshable=false
2021-11-26T21:15:33.776Z [AUDIT] Token created by 'anonymous': tokenId='b5ee8dcd-863b-4d67-88d6-d6df9d61394f', issuer='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', subject='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', expiry=none, refreshable=false
2021-11-26T21:15:33.896Z [AUDIT] Token created by 'anonymous': tokenId='a1f0b613-3616-4d11-b895-491674c92e7e', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637961453891, refreshable=false
2021-11-26T21:15:39.251Z [AUDIT] Token created by 'anonymous': tokenId='5851d290-3dfb-4268-90d7-b053be39bcc8', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-11-26T21:15:39.322Z [AUDIT] Token created by 'jffe@000': tokenId='84b92cfb-3153-4287-8360-0d5bb19ee947', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637961939321, refreshable=false
2021-11-26T21:17:34.801Z [AUDIT] Token created by 'jfrt@01fnf1mwvggrgx1ytp54rh032v': tokenId='f06a60b1-fd66-4cc5-88db-2c5915b487fb', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=2584041454800, refreshable=false
2021-11-26T21:25:42.314Z [AUDIT] Token created by 'jffe@000': tokenId='e13d44bb-e881-4f4c-b57c-a67d1f14b0a6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637962542314, refreshable=false
2021-11-26T21:25:42.314Z [AUDIT] Token created by 'jffe@000': tokenId='78a43a15-f26d-45d4-9565-e9b72d177848', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637962542314, refreshable=false
2021-11-26T21:25:42.314Z [AUDIT] Token created by 'jffe@000': tokenId='1114eb00-c984-481e-9783-b28a44b17bb7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637962542314, refreshable=false
2021-11-26T21:25:42.315Z [AUDIT] Token created by 'jffe@000': tokenId='0dfa4282-3967-4339-9412-c8715535020f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637962542315, refreshable=false
2021-11-26T21:25:42.316Z [AUDIT] Token created by 'jffe@000': tokenId='6e32cd5d-a25d-47c2-97a7-4ba010fdbdda', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637962542316, refreshable=false
2021-11-26T21:35:41.707Z [AUDIT] Token created by 'jffe@000': tokenId='1dc6c838-2abc-46ad-a4c1-f61a8b6a6344', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963141707, refreshable=false
2021-11-26T21:35:41.707Z [AUDIT] Token created by 'jffe@000': tokenId='925cac15-d2ac-4b64-a9ef-9e96f4e1baaa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963141707, refreshable=false
2021-11-26T21:35:41.708Z [AUDIT] Token created by 'jffe@000': tokenId='6a5ee8a3-9d0c-4f78-ab5a-b3c37ae2a8e2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963141708, refreshable=false
2021-11-26T21:35:41.708Z [AUDIT] Token created by 'jffe@000': tokenId='b8692e6d-34f8-4312-a5bc-8083058de2dc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963141708, refreshable=false
2021-11-26T21:35:41.709Z [AUDIT] Token created by 'jffe@000': tokenId='5f3678e9-fb98-436e-94d1-d7a1fdd19d7a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963141709, refreshable=false
2021-11-26T21:45:41.767Z [AUDIT] Token created by 'jffe@000': tokenId='f5688df1-08d3-471c-8acd-b6c4912ad2b8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963741767, refreshable=false
2021-11-26T21:45:41.767Z [AUDIT] Token created by 'jffe@000': tokenId='6ce375be-aba1-4bf2-9a90-d8dc92f09ed8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963741767, refreshable=false
2021-11-26T21:45:41.769Z [AUDIT] Token created by 'jffe@000': tokenId='08fefc4d-7158-4f32-b50f-6695456ced32', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963741769, refreshable=false
2021-11-26T21:45:41.770Z [AUDIT] Token created by 'jffe@000': tokenId='46ebae1a-4907-4e9a-adb6-e108f4872a0c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963741770, refreshable=false
2021-11-26T21:45:41.776Z [AUDIT] Token created by 'jffe@000': tokenId='b659b86c-7676-4656-a91d-8c42d0e0ba64', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637963741767, refreshable=false
2021-11-26T21:55:41.780Z [AUDIT] Token created by 'jffe@000': tokenId='f26640cb-7c71-480d-b2b1-9cf407b2d0c8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964341780, refreshable=false
2021-11-26T21:55:41.781Z [AUDIT] Token created by 'jffe@000': tokenId='5f2e8da4-9075-42fc-a20d-b21b7e405cf9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964341781, refreshable=false
2021-11-26T21:55:41.787Z [AUDIT] Token created by 'jffe@000': tokenId='1c0fae22-303a-4a83-9c46-da19c6dc1df5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964341787, refreshable=false
2021-11-26T21:55:41.790Z [AUDIT] Token created by 'jffe@000': tokenId='9c40a773-f8aa-4338-8810-5e9899060c30', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964341790, refreshable=false
2021-11-26T21:55:41.795Z [AUDIT] Token created by 'jffe@000': tokenId='5831199f-7bfb-47c4-a833-bcbc237b4a9a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964341795, refreshable=false
2021-11-26T22:05:41.839Z [AUDIT] Token created by 'jffe@000': tokenId='24d319ed-9290-47bd-8366-bb6d31752387', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964941839, refreshable=false
2021-11-26T22:05:41.840Z [AUDIT] Token created by 'jffe@000': tokenId='d33af87d-133f-4fd3-b455-58abfe8da78e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964941840, refreshable=false
2021-11-26T22:05:41.839Z [AUDIT] Token created by 'jffe@000': tokenId='9c1ed03e-d355-4c60-8a06-b12b0c7848ee', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964941839, refreshable=false
2021-11-26T22:05:41.843Z [AUDIT] Token created by 'jffe@000': tokenId='dbed698c-1a4b-487f-a90f-92e8880b1644', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964941843, refreshable=false
2021-11-26T22:05:41.848Z [AUDIT] Token created by 'jffe@000': tokenId='5b52755c-73f5-4ce8-88b7-1ed5d794ca10', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637964941847, refreshable=false
2021-11-26T22:15:41.908Z [AUDIT] Token created by 'jffe@000': tokenId='11611fb5-ffef-4b39-a560-e608f7ead193', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637965541907, refreshable=false
2021-11-26T22:15:41.938Z [AUDIT] Token created by 'jffe@000': tokenId='9d754752-2c69-4d4b-8081-08b05422dafd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637965541938, refreshable=false
2021-11-26T22:15:41.938Z [AUDIT] Token created by 'jffe@000': tokenId='c92bdadc-3f51-4e3a-abb4-bcb7cfb71d30', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637965541938, refreshable=false
2021-11-26T22:15:41.940Z [AUDIT] Token created by 'jffe@000': tokenId='e756e05c-8cb4-4a08-b2bc-bbcbc572a833', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637965541940, refreshable=false
2021-11-26T22:15:41.946Z [AUDIT] Token created by 'jffe@000': tokenId='67ab7063-44fe-4bcd-93c5-bd30c19f6412', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637965541946, refreshable=false
2021-11-26T22:22:03.678Z [AUDIT] Token created by 'jffe@000': tokenId='64b8f7a8-ff5e-4205-90ab-a9b9bb55c3c6', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637965923678, refreshable=false
2021-11-26T22:22:03.679Z [AUDIT] Token created by 'jffe@000': tokenId='5d14bab9-9c3b-4e6b-ba6b-68dc26c63b2a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637965923679, refreshable=false
